Time,Lat,Long
2021-03-15 22:50:41.182647,5556.6508N, 310.8879W
2021-03-15 22:50:44.957990,5556.6508N, 310.8880W
2021-03-15 22:50:48.733696,5556.6508N, 310.8880W
2021-03-15 22:50:52.509294,5556.6508N, 310.8880W
2021-03-15 22:50:56.295063,5556.6508N, 310.8881W
2021-03-15 22:51:00.070560,5556.6508N, 310.8880W
2021-03-15 22:51:03.846182,5556.6508N, 310.8880W
2021-03-15 22:51:07.621758,5556.6508N, 310.8879W
2021-03-15 22:51:11.397326,5556.6508N, 310.8878W
2021-03-15 22:51:15.172896,5556.6508N, 310.8877W
2021-03-15 22:51:18.948531,5556.6508N, 310.8876W
2021-03-15 22:51:22.724025,5556.6508N, 310.8876W
2021-03-15 22:51:26.499791,5556.6508N, 310.8876W
2021-03-15 22:51:30.275485,5556.6508N, 310.8875W
2021-03-15 22:51:34.051011,5556.6508N, 310.8874W
2021-03-15 22:51:37.826752,5556.6508N, 310.8871W
2021-03-15 22:51:41.602339,5556.6508N, 310.8869W
2021-03-15 22:51:45.378017,5556.6508N, 310.8871W
2021-03-15 22:51:49.153729,5556.6508N, 310.8871W
2021-03-15 22:51:52.929483,5556.6508N, 310.8871W
2021-03-15 22:51:56.705161,5556.6508N, 310.8871W
2021-03-15 22:52:00.480728,5556.6508N, 310.8872W
2021-03-15 22:52:04.256589,5556.6508N, 310.8873W
2021-03-15 22:52:08.032220,5556.6508N, 310.8877W
2021-03-15 22:52:11.808020,5556.6508N, 310.8886W
2021-03-15 22:52:15.594183,5556.6508N, 310.8891W
2021-03-15 22:52:19.370249,5556.6513N, 310.8893W
2021-03-15 22:52:23.146100,5556.6513N, 310.8889W
2021-03-15 22:52:26.922058,5556.6513N, 310.8882W
2021-03-15 22:52:30.698186,5556.6508N, 310.8875W
2021-03-15 22:52:34.474248,5556.6508N, 310.8867W
2021-03-15 22:52:38.250145,5556.6508N, 310.8860W
2021-03-15 22:52:42.026288,5556.6503N, 310.8855W
2021-03-15 22:52:45.802339,5556.6503N, 310.8849W
2021-03-15 22:52:49.578613,5556.6508N, 310.8846W
2021-03-15 22:52:53.354830,5556.6508N, 310.8846W
2021-03-15 22:52:57.130881,5556.6508N, 310.8848W
2021-03-15 22:53:00.906947,5556.6508N, 310.8849W
2021-03-15 22:53:04.693524,5556.6508N, 310.8847W
2021-03-15 22:53:08.469674,5556.6508N, 310.8844W
2021-03-15 22:53:12.246027,5556.6508N, 310.8843W
2021-03-15 22:53:16.022218,5556.6503N, 310.8840W
2021-03-15 22:53:19.798551,5556.6503N, 310.8839W
2021-03-15 22:53:23.574764,5556.6508N, 310.8840W
2021-03-15 22:53:27.351123,5556.6508N, 310.8842W
2021-03-15 22:53:31.127458,5556.6508N, 310.8841W
2021-03-15 22:53:34.903871,5556.6513N, 310.8841W
2021-03-15 22:53:38.690453,5556.6513N, 310.8839W
2021-03-15 22:53:42.466829,5556.6513N, 310.8841W
2021-03-15 22:53:46.243068,5556.6513N, 310.8840W
2021-03-15 22:53:50.019325,5556.6513N, 310.8838W
2021-03-15 22:53:53.795716,5556.6513N, 310.8837W
2021-03-15 22:53:57.571997,5556.6513N, 310.8832W
2021-03-15 22:54:01.348366,5556.6513N, 310.8827W
2021-03-15 22:54:05.124715,5556.6513N, 310.8825W
2021-03-15 22:54:08.900970,5556.6508N, 310.8823W
2021-03-15 22:54:12.677401,5556.6508N, 310.8819W
2021-03-15 22:54:16.453807,5556.6503N, 310.8817W
2021-03-15 22:54:20.230065,5556.6503N, 310.8818W
2021-03-15 22:54:24.006307,5556.6508N, 310.8817W
2021-03-15 22:54:27.782846,5556.6508N, 310.8821W
2021-03-15 22:54:31.559034,5556.6513N, 310.8828W
2021-03-15 22:54:35.335427,5556.6513N, 310.8838W
2021-03-15 22:54:39.111923,5556.6508N, 310.8840W


